date,volume,open,close,high,low,adjclose,T10Y2Y
5/1/2018,74203400,263.8699951,264.980011,265.1000061,262.1099854,259.9371338,0.81
4/30/2018,82182300,267.2600098,264.5100098,267.8900146,264.4299927,259.4760742,0.8
4/27/2018,57053600,267,266.5599976,267.3399963,265.5,261.48703,0.83
4/26/2018,67731900,264.7900085,266.3099976,267.25,264.2900085,261.2418213,0.86
4/25/2018,103840900,262.9100037,263.6300049,264.1300049,260.8500061,258.612793,0.86
4/24/2018,112885500,267.730011,262.980011,267.980011,261.2799988,257.9751892,0.86
4/23/2018,65558000,267.2600098,266.5700073,267.8900146,265.3500061,261.4968567,0.86
4/20/2018,99953100,268.8099976,266.6099854,269.0599976,265.6099854,261.5360718,0.84
4/19/2018,77655900,269.6499939,268.8900146,269.8800049,267.7200012,263.7727356,0.86
4/18/2018,57303900,270.6900024,270.3900146,271.2999878,269.8699951,265.2441711,0.87
4/17/2018,64682000,269.3299866,270.1900024,270.8699951,268.75,265.0479736,0.93
4/16/2018,63405300,267,267.3299866,268.2000122,266.0700073,262.2423706,0.93
4/13/2018,85079200,267.4100037,265.1499939,267.5400085,264.0100098,260.1038818,0.93
4/11/2018,91140200,263.4700012,263.7600098,265.6400146,263.3900146,258.7403564,0.95
4/10/2018,103529000,264.269989,265.1499939,266.0400085,262.980011,260.1038818,0.95
4/9/2018,105442900,261.3699951,261,264.8399963,259.9400024,256.0328674,0.97
4/6/2018,179521200,263.4200134,259.7200012,265.1099854,258,254.7772064,0.98
4/5/2018,82652600,265.5499878,265.6400146,266.6400146,264.3200073,260.5845642,0.96
4/4/2018,123715300,256.75,263.5599976,264.3599854,256.6000061,258.5441284,0.95
4/3/2018,119956900,258.8699951,260.769989,261.3099976,256.8399963,255.8072662,0.96
4/2/2018,186286300,262.5499878,257.4700012,263.1300049,254.6699982,252.5700378,0.96
3/29/2018,111601600,261.1199951,263.1499939,265.2600098,259.8399963,258.1419373,1.04
3/28/2018,146452300,260.75,259.8299866,262.6400146,258.5799866,254.8850861,1.03
3/27/2018,129941400,266.1700134,260.6000061,266.769989,258.8399963,255.6404877,1.04
3/26/2018,141956100,262.1300049,265.1099854,265.4299927,259.4100037,260.0646667,1.04
3/23/2018,183534800,264.1700134,258.0499878,264.5400085,257.8299866,253.1389923,1.06
3/22/2018,148785900,267.9100037,263.6700134,268.8699951,263.3599854,258.6520691,1.05
3/21/2018,78709600,270.8999939,270.4299927,273.269989,270.1900024,265.2834167,1.06
3/20/2018,59757300,270.9400024,270.9500122,271.6700134,270.1799927,265.7935181,1.04
3/19/2018,109208400,273.3500061,270.4899902,274.3999939,268.6199951,265.3422241,1.04
3/16/2018,100343700,274.5,274.2000122,275.3900146,274.1400146,268.9816895,1.03
3/15/2018,83433000,275.8800049,275,276.6099854,274.4299927,268.6902771,1.02
3/14/2018,105895100,277.8099976,275.2999878,278.019989,274.6700134,268.9833984,1.05
3/13/2018,91968900,279.8399963,276.7200012,280.4100037,276.0299988,270.3708496,1.01
3/12/2018,71924800,279.2000122,278.519989,279.9100037,278.0799866,272.1295471,1.05
3/9/2018,113625300,275.7000122,278.8699951,278.8699951,275.3399963,272.4714966,1.04
3/8/2018,66901200,273.5499878,274.1000061,274.2399902,272.4200134,267.8109741,1.06
3/7/2018,87063500,270.4200134,272.7799988,273.1799927,270.2000122,266.5212708,1.03
3/6/2018,79213200,273.2999878,272.8800049,273.3900146,271.1799927,266.6189575,1.04
3/5/2018,97307400,267.730011,272.1900024,272.8900146,267.6099854,265.9447632,1.03
3/2/2018,139083200,265.7999878,269.0799866,269.7200012,264.8200073,262.9061279,1.02
3/1/2018,176855100,271.4100037,267.7000122,273.1700134,266,261.5578003,1
2/28/2018,121907800,275.6799927,271.6499939,276.1900024,271.2900085,265.4171753,1.05
2/26/2018,86491400,275.9299927,277.8999939,278.0100098,275.2600098,271.5237732,1.03
2/23/2018,92766400,271.7900085,274.7099915,274.7099915,271.25,268.4069519,1.04
2/22/2018,110511300,271.1000061,270.3999939,273.0499878,269.6400146,264.1958313,1.08
2/21/2018,98883700,271.8999939,270.0499878,274.7200012,269.9400024,263.8538513,1.08
2/20/2018,86369700,272.0299988,271.3999939,273.6700134,270.5,265.1728516,1.09
2/16/2018,160420100,272.3200073,273.1099854,275.3200073,272.269989,266.8436279,1.1
2/15/2018,111200300,271.5700073,273.0299988,273.0400085,268.769989,266.7654724,1.1
2/14/2018,120735700,264.3099976,269.5899963,270,264.2999878,263.4044189,1.11
2/13/2018,81223600,263.9700012,266,266.6199951,263.3099976,259.8968201,1.11
2/12/2018,143736000,263.8299866,265.3399963,267.0100098,261.6600037,259.2519226,1.13
2/9/2018,283565300,260.7999878,261.5,263.6099854,252.9199982,255.5000458,1.14
